chunk_id,course_code,title,section,chunk_index,text,source_file
88,APCO 2P01,.,APPLIED COMPUTING COURSES,1,"Course: APCO 2P01 - . Section: APPLIED COMPUTING COURSES Description: #APCO 2P61 Website Creation (also offered as STAC 2P61 and VISA 2P61 ) Creative approaches to basic technical and design foundations of website design and development. Processing and management of images and other media assets, structuring websites, development tools and applications, web hosting and dissemination strategies. Contemporary web-based art practices within the broader history of cultural production. Prerequisites: VISA 1P95 (minimum 60 percent) and 1P96 (minimum 60 percent) or permission of the instructor. Restrictions: open to STAC , VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors until date specified in Registration guide. After that date open to STAC , VISA (single or combined), VISA (Honours)/BEd (Intermediate/Senior) majors and APCO minors.",2024-2025-Undergraduate-Calendar-Computer-Science.html
89,APCO 2P01,.,APPLIED COMPUTING COURSES,2,"Notes: students will need additional materials, which they must supply. Field trips may be required. Students are expected to pay their own expenses. VISA 1P95 recommended. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. #APCO 2P89 Internet Technologies (also offered as Delivery: Lectures, lab, 5 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
90,COSC 2P89,and,APPLIED COMPUTING COURSES,1,"Course: COSC 2P89 - and Section: APPLIED COMPUTING COURSES Description: IASC 2P89 ) Concepts and techniques for building and maintaining advanced interactive Web sites. Topics include XML and SGML , database connectivity and forms handling, basic animation, graphics optimization for the Web, scripting, advanced searching and Web design for accessibility. Delivery: Lectures, 3 hours per week; lab/seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
91,APCO 1P00,(minimum 60 percent) and,APPLIED COMPUTING COURSES,1,Course: APCO 1P00 - (minimum 60 percent) and Section: APPLIED COMPUTING COURSES Description: 1P01 (minimum 60 percent) or,2024-2025-Undergraduate-Calendar-Computer-Science.html
92,COSC 1P03,(minimum 60 percent).,APPLIED COMPUTING COURSES,1,"Course: COSC 1P03 - (minimum 60 percent). Section: APPLIED COMPUTING COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
93,APCO 2P99,Project in Applied Computing,APPLIED COMPUTING COURSES,1,"Course: APCO 2P99 - Project in Applied Computing Section: APPLIED COMPUTING COURSES Description: Development project in computing, Internet programming or directed reading essay under the supervision of a faculty member. Prerequisites: two APCO credits (minimum 70 percent). Notes: students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. #APCO 3P94 Human Computer Interaction (also offered as",2024-2025-Undergraduate-Calendar-Computer-Science.html
94,COSC 3P94,and,APPLIED COMPUTING COURSES,1,"Course: COSC 3P94 - and Section: APPLIED COMPUTING COURSES Description: IASC 3P94 ) Human factors in the design and support of computing systems. Design methodologies such as GOMS , TAGs and Task Analysis. Design principles relating to various interaction paradigms. Prerequisites: two credits from APCO (minimum 60 percent), COSC (minimum 60 percent), IASC (minimum 60 percent). Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Delivery: Lectures, 3 hours per week; lab/seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
95,COSC 1P02,Introduction to Computer Science,COMPUTER SCIENCE COURSES,1,"Course: COSC 1P02 - Introduction to Computer Science Section: COMPUTER SCIENCE COURSES Description: Foundations of Computer Science and computer programming in a high-level language. Topics include computer fundamentals, representation of information, problem solving and software development, programming language syntax and semantics, methods, input/output, control structures and data types. Notes: This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Delivery: Lectures, 3 hours per week; lab, 2 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
96,COSC 1P03,Introduction to Data Structures,COMPUTER SCIENCE COURSES,1,"Course: COSC 1P03 - Introduction to Data Structures Section: COMPUTER SCIENCE COURSES Description: Programming and problem solving in a high-level programming language. Data structures including arrays and linked-lists. Modularity, abstraction and abstract data types including stacks, queues and lists. Introduction to searching and sorting, recursion, algorithm analysis and object-orientation. Delivery: Lectures, 3 hours per week; lab, 2 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
97,COSC 1P02,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 1P02 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *COSC 1P50 Integrity and Literacy in the Information Age (also offered as",2024-2025-Undergraduate-Calendar-Computer-Science.html
98,APCO 1P50,and,COMPUTER SCIENCE COURSES,1,"Course: APCO 1P50 - and Section: COMPUTER SCIENCE COURSES Description: IASC 1P50 ) Issues in use of information technology including historic and social perspectives; legal, ethical and moral issues; intellectual property, licensing and copyright; privacy and freedom of expression; professional conduct and information literacy. Notes: this course involves seminars and considerable written work. A good command of written and spoken English is required. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Delivery: Lectures, 3 hours per week; seminar, 1.5 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
99,COSC 1P71,Essentials of Artificial Intelligence,COMPUTER SCIENCE COURSES,1,"Course: COSC 1P71 - Essentials of Artificial Intelligence Section: COMPUTER SCIENCE COURSES Description: Introductory, non-technical survey of artificial intelligence (AI) basics. Historical review of AI, from early approaches to contemporary technologies. Critical overview of successes and limitations. Ethical ramifications of AI, including its risks and safety, impact on society, industry, science, as well as problems arising from bias and misuse. Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Delivery: Lectures, 3 hours per week",2024-2025-Undergraduate-Calendar-Computer-Science.html
100,COSC 2P03,Advanced Data Structures,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - Advanced Data Structures Section: COMPUTER SCIENCE COURSES Description: Implementation and use of advanced data structures including trees, graphs, hash tables and advanced list structures, sorting and searching, recursion and traversals. Analysis of algorithms. Restrictions: open to COSC (single or combined), BCB, CAST , CNET , GAMP and NEUR Neurocomputing stream majors. Delivery: Lectures, 3 hours per week; lab, 2 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
101,COSC 1P03,"(minimum 60 percent),",COMPUTER SCIENCE COURSES,1,"Course: COSC 1P03 - (minimum 60 percent), Section: COMPUTER SCIENCE COURSES Description: MATH 1P66 and 1P67 . Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
102,COSC 2P05,Programming Languages,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P05 - Programming Languages Section: COMPUTER SCIENCE COURSES Description: Fundamental concepts of programming languages including syntax, semantics, program translation, virtual machines, control, data types, multi-threading, exception handling and abstraction mechanisms. Introduction to programming paradigms including imperative, applicative, logic and object-oriented. Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
103,COSC 2P03,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in",2024-2025-Undergraduate-Calendar-Computer-Science.html
104,COSC 2P90,and,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P90 - and Section: COMPUTER SCIENCE COURSES Description: 3P05 . #COSC 2P08 Programming for Big Data (also offered as DASA 2P08 ) Introduction to Python programming and its Data Science ecosystem; handling and analyzing large datasets; data visualization; integrating Python into big data ecosystems; hands-on exercises and projects. Delivery: Lectures, 3 hours per week; lab, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
105,COSC 1P03,.,COMPUTER SCIENCE COURSES,1,Course: COSC 1P03 - . Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
106,COSC 2P12,Introduction to Computer Architecture,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P12 - Introduction to Computer Architecture Section: COMPUTER SCIENCE COURSES Description: Evolution of digital computer. Computer organization including functional units, instruction cycle, control, buses and memory. Instruction types and memory access, instruction sequencing and call/return. Basic assembly language programming. Delivery: Lectures, 3 hours per week; lab, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
107,COSC 1P03,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 1P03 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
108,COSC 2P13,Introduction to Operating Systems,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P13 - Introduction to Operating Systems Section: COMPUTER SCIENCE COURSES Description: Operating systems and management principles of computing resources and processing. Resource sharing including file, processor, I/O and memory management. Concurrency including: context switching, interprocess communication, and synchronization. Protection and security including encryption. Distributed systems including synchronization algorithms and fundamentals of computer networks. Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
109,COSC 2P03,"(minimum 60 percent) for COSC (single or combined), BCB,",COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent) for COSC (single or combined), BCB, Section: COMPUTER SCIENCE COURSES Description: CAST , CNET and NEUR neurocomputing majors;",2024-2025-Undergraduate-Calendar-Computer-Science.html
110,COSC 2P03,"(minimum 60 percent),",COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent), Section: COMPUTER SCIENCE COURSES Description: CPCF 1F25 and IASC 2P04 for GAMP majors. Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *COSC 2P89 Internet Technologies (also offered as",2024-2025-Undergraduate-Calendar-Computer-Science.html
111,APCO 2P89,and,COMPUTER SCIENCE COURSES,1,"Course: APCO 2P89 - and Section: COMPUTER SCIENCE COURSES Description: IASC 2P89 ) Concepts and techniques required for building and maintaining advanced interactive Web sites. Topics include XML and SGML , database connectivity and forms handling, basic animation, graphics optimization for the Web, scripting, advanced searching, Web design for accessibility. Delivery: Lectures, 3 hours per week; lab/seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
112,COSC 1P03,(minimum 60 percent) or,COMPUTER SCIENCE COURSES,1,Course: COSC 1P03 - (minimum 60 percent) or Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
113,APCO 1P00,(minimum 60 percent) and,COMPUTER SCIENCE COURSES,1,"Course: APCO 1P00 - (minimum 60 percent) and Section: COMPUTER SCIENCE COURSES Description: 1P01 (minimum 60 percent). Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
114,COSC 2P95,Programming in C++ with Applications,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P95 - Programming in C++ with Applications Section: COMPUTER SCIENCE COURSES Description: C++ as a second language. Basic language structure, data structures, libraries for application. Introduction to object-orientation and UNIX commands. Prerequisites: one of Delivery: Lectures, 3 hours per week; labs 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
115,COSC 1P03,",",COMPUTER SCIENCE COURSES,1,"Course: COSC 1P03 - , Section: COMPUTER SCIENCE COURSES",2024-2025-Undergraduate-Calendar-Computer-Science.html
116,APCO 1P93,",",COMPUTER SCIENCE COURSES,1,"Course: APCO 1P93 - , Section: COMPUTER SCIENCE COURSES Description: MATH 2P40 . Prerequisites: one of four COSC credits, IASC 1F01 ( 1F00 ), one credit from VISA 1P93 (minimum 60 percent), 1P94 (minimum 60 percent), 1P95 (minimum 60 percent), 1P96 (minimum 60 percent). Restrictions: open to COSC (single or combined), IASC (single or combined), STAC , VISA (single or combined) and VISA (Honours)/BEd (Intermediate/Senior) majors until date specified in Registration guide. Notes: students should select the lab appropriate for their application domain (Computer Science or Mathematics). This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
117,APCO 1P93,",",COMPUTER SCIENCE COURSES,2,"#COSC 2P96 Introduction to 3D Modelling and Animation (also offered as STAC 2P96 and VISA 2P96 ) Concepts and skills of 3D modelling and rendering using Autodesk Maya. Approaches to building models, using texturizing, lighting, cameras and rendering as well as basic animation techniques. Relevant historical and theoretical perspectives on 3D and virtuality situating 3D within creative process and broader critical practices in cultural production. students will need additional materials and equipment, which they must supply. Field trips may be required. Students are expected to pay their own expenses. VISA 1P95 recommended. Due to space limitations, audits are not permitted in studio classes. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
118,APCO 1P93,",",COMPUTER SCIENCE COURSES,3,"Completion of this course will replace previous assigned grade and credit obtained in IASC 2P96 . Delivery: Lectures, lab, 5 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
119,COSC 3P01,Computer Networking,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P01 - Computer Networking Section: COMPUTER SCIENCE COURSES Description: Principles of computer network: basic networking issues, concepts and solution approaches. Protocol stack and encapsulation including ISO-OSI and TCP/IP models. Application layer including common applications. Transport layer including reliable and unreliable delivery. Network layer including addressing, routing and datagram forwarding. Link layer including MAC addressing and fundamentals on access control. Network programming including client/server programming designs. Delivery: Lectures, 3 hours per week",2024-2025-Undergraduate-Calendar-Computer-Science.html
120,COSC 2P03,(minimum of 60 percent) and,COMPUTER SCIENCE COURSES,1,Course: COSC 2P03 - (minimum of 60 percent) and Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
121,COSC 2P13,(minimum of 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P13 - (minimum of 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
122,COSC 3P03,Algorithms,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P03 - Algorithms Section: COMPUTER SCIENCE COURSES Description: Design and analysis of computer algorithms. Topics include asymptotic notations, solving recurrences, order statistics, general algorithm design techniques such as divide-and-conquer, greedy algorithms, dynamic programming, backtracking and branch-and-bound. Graph and string algorithms. Introduction to NP-Completeness and complexity theory. Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
123,COSC 2P03,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
124,COSC 3P32,Database Systems,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P32 - Database Systems Section: COMPUTER SCIENCE COURSES Description: Fundamental database concepts: specification, design and applications; various models including the relational model; normal forms, efficiency considerations, queries using SQL, database administration and security. Practical experience in a group project. Delivery: Lectures, 3 hours per week; lab, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
125,COSC 2P03,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in",2024-2025-Undergraduate-Calendar-Computer-Science.html
126,COSC 2P32,.,COMPUTER SCIENCE COURSES,1,Course: COSC 2P32 - . Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
127,COSC 3P71,Artificial Intelligence,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P71 - Artificial Intelligence Section: COMPUTER SCIENCE COURSES Description: Historic and philosophical foundations of AI; knowledge representation and reasoning; problem spaces; blind and heuristic search; adversarial search in game playing; machine learning; social and ethical considerations. Delivery: Lectures, 3 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
128,COSC 2P03,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
129,COSC 3P90,Software Development,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P90 - Software Development Section: COMPUTER SCIENCE COURSES Description: Introduction to modern software engineering techniques and applications; Contemporary approaches to software development; Generally applicable principles in software engineering; Hands-on applications of software development. Delivery: Lectures, 3 hours per week; Lab, 1 hour per week",2024-2025-Undergraduate-Calendar-Computer-Science.html
130,COSC 2P03,(minimum 60 percent),COMPUTER SCIENCE COURSES,1,Course: COSC 2P03 - (minimum 60 percent) Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
131,COSC 3P91,Advanced Object-Oriented Programming,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P91 - Advanced Object-Oriented Programming Section: COMPUTER SCIENCE COURSES Description: Topics may include graphical user interfaces, animation, sound, music, networking, parallelism, client-server and XML using game design as an example. Object-oriented program design including UML and design patterns. Introduction to advanced Java APIs. Prerequisites: two COSC credits. Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in Delivery: Lectures, 3 hours per week; lab 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
132,COSC 3P40,.,COMPUTER SCIENCE COURSES,1,Course: COSC 3P40 - . Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
133,COSC 3P92,Computer Architecture,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P92 - Computer Architecture Section: COMPUTER SCIENCE COURSES Description: Topics include buses, internal and external memory, I/O and interfacing, computer arithmetic, instruction sets, RISCs, microprogrammed control, parallel organization. Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
134,COSC 2P12,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P12 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
135,COSC 3P93,Parallel Computing,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P93 - Parallel Computing Section: COMPUTER SCIENCE COURSES Description: Origins of parallelism, classification of designs, characterization of performance. Pipelined computers: selection and comparison, case studies. Processor arrays: switching networks, case studies. Parallel languages: general principles, parallel constructs, vectorizing compilers, issues of portability. Practical exposure to a parallel programming language and parallel computing hardware. Parallel algorithms: general principles, recurrences, parallel approach to data structures and computational structures. Future trends: technology, design limitations, future supercomputers. Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
136,COSC 2P13,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P13 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. *COSC 3P94 Human Computer Interaction (also offered as",2024-2025-Undergraduate-Calendar-Computer-Science.html
137,APCO 3P94,and,COMPUTER SCIENCE COURSES,1,"Course: APCO 3P94 - and Section: COMPUTER SCIENCE COURSES Description: IASC 3P94 ) Human factors in the design and support of computing systems. Design methodologies such as GOMS , TAGs and Task Analysis. Design principles relating to various interaction paradigms. Prerequisites: two credits from APCO (minimum 60 percent), COSC (minimum 60 percent), IASC (minimum 60 percent). Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Delivery: Lectures, 3 hours per week; lab/seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
138,COSC 3P95,Software Analysis and Testing,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P95 - Software Analysis and Testing Section: COMPUTER SCIENCE COURSES Description: Principles of software development besides programming, such as static and dynamic analysis, debugging, diagnosing bugs, and testing. Topics include fundamental properties of software analysis and testing techniques, program analysis and code inspection, defect tracking, causality analysis, software measurement, software profiling, software tracing, acceptance testing, integration testing, regression testing, and performance testing. Restrictions: open to COSC (single or combined), BCB, CAST , GAMP , and NEUR majors. Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
139,COSC 2P03,(minimum 60 percent) and,COMPUTER SCIENCE COURSES,1,Course: COSC 2P03 - (minimum 60 percent) and Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
140,COSC 2P05,.,COMPUTER SCIENCE COURSES,1,Course: COSC 2P05 - . Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
141,COSC 3P96,Machine Learning,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P96 - Machine Learning Section: COMPUTER SCIENCE COURSES Description: Fundamental machine learning techniques with emphasis on using these techniques to design and implement small practical learning systems. Topics include learning as a search, inductive bias, concept learning, computational learning, explanation-based learning and reinforcement learning. Delivery: Lectures, seminar, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
142,COSC 3P71,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P71 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
143,COSC 3P97,Mobile Computing,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P97 - Mobile Computing Section: COMPUTER SCIENCE COURSES Description: Overview of mobile applications, technologies and communication. Common paradigms in mobile computing. Application frameworks and application development. Interaction styles for user interface. Restrictions: open to COSC (single or combined), BCB, CAST and CNET majors. Delivery: Lectures 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
144,COSC 2P13,(minimum 60 percent) and,COMPUTER SCIENCE COURSES,1,Course: COSC 2P13 - (minimum 60 percent) and Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
145,COSC 3P32,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P32 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in",2024-2025-Undergraduate-Calendar-Computer-Science.html
146,COSC 3V97,.,COMPUTER SCIENCE COURSES,1,Course: COSC 3V97 - . Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
147,COSC 3P98,Computer Graphics,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P98 - Computer Graphics Section: COMPUTER SCIENCE COURSES Description: Topics include 2-D and 3-D graphics, curve and surface fitting, light and colour models, real time interfaces, animation and hardware issues (knowledge of C assumed). Delivery: Lectures, 3 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
148,COSC 2P03,"(minimum 60 percent), three COSC credits and",COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent), three COSC credits and Section: COMPUTER SCIENCE COURSES Description: MATH 1P12 . Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
149,COSC 3P99,Computing Project,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P99 - Computing Project Section: COMPUTER SCIENCE COURSES Description: Half-year development project or directed reading essay under faculty supervision. Restrictions: open to COSC (single or combined), BCB, CAST , CNET , GAMP and NEUR Neurocomputing stream majors with a minimum 75 percent major average (or permission of project supervisor) and permission of project coordinator. Delivery: Seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
150,COSC 2P03,.,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - . Section: COMPUTER SCIENCE COURSES Notes: students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
151,COSC 3Q95,Internship in Game Programming,COMPUTER SCIENCE COURSES,1,Course: COSC 3Q95 - Internship in Game Programming Section: COMPUTER SCIENCE COURSES Description: Internship in a business related to the gaming industry. Restrictions: open to GAMP majors and permission of the Game Program Director.,2024-2025-Undergraduate-Calendar-Computer-Science.html
152,COSC 2P03,(minimum 60 percent) and permission of,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent) and permission of Section: COMPUTER SCIENCE COURSES Description: Game Programming Director. Restrictions: open to COSC (single or combined), BCB, CAST , CNET , GAMP and NEUR Neurocomputing stream majors. Notes: application required. Enrolment will be limited to the number of placements available. Students will be required to attend orientation meetings, occasional meetings with the Student Support Co-ordinator and develop professional learning objectives. Additional components typically include a site visit, a work term report and an employer performance evaluation. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. COSC 3V90-3V99 Computing Topics I Selected topics in computer science.",2024-2025-Undergraduate-Calendar-Computer-Science.html
153,COSC 4F90,Computing Project,COMPUTER SCIENCE COURSES,1,"Course: COSC 4F90 - Computing Project Section: COMPUTER SCIENCE COURSES Description: Full-year project under the supervision of a faculty member. Restrictions: open to COSC (single or combined), BCB, CAST and CNET majors with a minimum 75 percent major average, a minimum 10.0 overall credits and permission of project co-ordinator. Delivery: Seminar, 2 hours per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
154,COSC 2P03,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 2P03 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: students may propose their own projects for departmental approval or may apply for a project proposed by a faculty member. This course is strongly recommended for students considering graduate school. Students must consult with faculty at the end of year 3 regarding supervision of projects. Further information (including project guidelines and project list) is available on the department Web pages. This course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term.",2024-2025-Undergraduate-Calendar-Computer-Science.html
155,COSC 4P01,Software Engineering 1,COMPUTER SCIENCE COURSES,1,"Course: COSC 4P01 - Software Engineering 1 Section: COMPUTER SCIENCE COURSES Description: Theory of software engineering. Topics include plan-driven development, Agile development, software requirements elicitation and presentation, verification of software correctness, redundancy, robustness, safety and security. Creation of robust software requirements document. Introduction to tools such as Git and Azure DevOps. Restrictions: open to COSC (single or combined), BCB and CAST majors with a minimum of 14.0 overall credits. Delivery: Lectures, 3 hours per week; tutorial, 1 hour per week.",2024-2025-Undergraduate-Calendar-Computer-Science.html
156,COSC 2P03,and,COMPUTER SCIENCE COURSES,1,Course: COSC 2P03 - and Section: COMPUTER SCIENCE COURSES,2024-2025-Undergraduate-Calendar-Computer-Science.html
157,COSC 3P32,(minimum 60 percent).,COMPUTER SCIENCE COURSES,1,"Course: COSC 3P32 - (minimum 60 percent). Section: COMPUTER SCIENCE COURSES Notes: this course may be offered in multiple modes of delivery. The method of delivery will be listed on the academic timetable, in the applicable term. Completion of this course will replace previous assigned grade and credit obtained in",2024-2025-Undergraduate-Calendar-Computer-Science.html
